Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1993","1993","1000 US$","2992","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1994","1994","1000 US$","2645","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1995","1995","1000 US$","29680","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1996","1996","1000 US$","56224","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1997","1997","1000 US$","43040","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1998","1998","1000 US$","54906","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1999","1999","1000 US$","88923","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2000","2000","1000 US$","102391","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2001","2001","1000 US$","129030","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2002","2002","1000 US$","104027","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2003","2003","1000 US$","107491","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2004","2004","1000 US$","130014","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2005","2005","1000 US$","132286","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2006","2006","1000 US$","168973","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2007","2007","1000 US$","237719","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2008","2008","1000 US$","337077","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2009","2009","1000 US$","265682","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2010","2010","1000 US$","288218","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2011","2011","1000 US$","355969","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2012","2012","1000 US$","332266","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2013","2013","1000 US$","378428","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2014","2014","1000 US$","377598","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2015","2015","1000 US$","272564","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2016","2016","1000 US$","238069","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2017","2017","1000 US$","281442","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2018","2018","1000 US$","272382","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2019","2019","1000 US$","268346","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","2020","2020","1000 US$","295453","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2000","2000","tonnes","638997","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2001","2001","tonnes","680987","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2002","2002","tonnes","658099","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2003","2003","tonnes","593871","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2004","2004","tonnes","584213","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2005","2005","tonnes","501634","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2006","2006","tonnes","527058","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2007","2007","tonnes","569997","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2008","2008","tonnes","581987","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2009","2009","tonnes","638653","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2010","2010","tonnes","707589","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2011","2011","tonnes","696791","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2012","2012","tonnes","730916","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2013","2013","tonnes","541977","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2014","2014","tonnes","627069","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2015","2015","tonnes","812054","A","Official figure"
