Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1976,1150.83,1149.05,1133.35,1279.63,1326.59,984.85,800.41,894.64,1283.17,1356.97,964.77,1296.37,1379.70,1258.72,979.27,1294.44
1977,1472.08,1527.63,1441.99,1488.43,1504.91,1382.85,1201.38,1319.10,1497.91,1562.05,1298.93,1495.55,1622.82,1595.32,1466.74,1538.04
1978,1579.89,1611.06,1631.00,1739.15,1681.69,1430.13,1171.24,1322.20,1649.89,1705.78,1355.41,1624.67,1764.04,1821.82,1459.45,1766.92
1979,1461.42,1386.09,1263.71,1385.95,1509.20,1512.88,1521.15,1359.37,1633.59,1560.42,1277.52,1414.33,1784.85,1371.66,1720.96,1358.83
1980,1499.07,1560.00,1571.92,1555.22,1455.19,1309.20,1439.81,1358.95,1519.77,1513.27,1297.12,1484.56,1467.16,1712.76,1598.91,1609.22
1981,1146.41,1181.91,1145.09,1175.72,1097.72,1076.11,1120.17,1033.98,1090.49,1173.10,1004.21,1171.88,1110.21,1237.86,1297.73,1164.81
1982,1347.27,1262.57,1176.84,1409.75,1589.20,1139.64,1174.99,1164.58,1554.53,1611.64,1114.39,1466.01,1793.77,1304.00,1332.78,1386.30
1983,1408.20,1364.18,1379.82,1499.87,1664.37,1186.43,1159.01,1234.18,1589.76,1613.66,1175.43,1444.69,1790.11,1514.60,1302.35,1509.02
1984,1299.81,1276.51,1189.47,1294.11,1324.50,1307.98,1184.68,1182.76,1367.07,1374.94,1172.18,1302.29,1466.15,1317.82,1409.31,1312.27
1985,1315.92,1369.83,1390.96,1427.78,1289.79,1145.00,1158.51,1129.64,1282.85,1357.64,1150.31,1367.98,1317.67,1515.82,1287.58,1458.77
1986,1127.92,1069.02,985.67,1079.32,1245.49,1106.62,1187.06,1086.47,1160.13,1216.03,1001.50,1088.13,1290.13,1086.27,1378.65,1076.39
1987,1323.06,1316.35,1221.83,1230.25,1407.69,1300.71,1358.29,1297.09,1393.71,1412.02,1181.11,1250.16,1547.27,1275.97,1435.46,1280.38
1988,1534.89,1597.44,1585.86,1686.76,1551.97,1409.10,1166.04,1202.03,1599.67,1648.92,1319.98,1623.94,1637.32,1781.36,1441.47,1690.03
1989,1135.88,1120.91,1126.31,1259.00,1221.68,993.09,883.63,920.85,1264.72,1282.17,931.90,1229.04,1332.47,1281.95,1044.26,1250.46
1990,1275.43,1290.33,1244.88,1340.68,1295.15,1164.25,1175.03,1165.72,1257.81,1343.05,1126.09,1324.42,1310.16,1383.76,1296.13,1361.09
1991,1290.69,1232.90,1251.11,1519.52,1590.26,1009.23,799.50,893.79,1556.08,1639.16,987.74,1558.57,1659.66,1435.79,1036.56,1525.26
1992,1147.27,1042.21,1078.90,1335.46,1414.88,879.14,801.11,788.46,1500.11,1475.63,836.69,1359.43,1610.55,1257.95,939.71,1314.88
1993,1306.10,1295.68,1202.54,1189.10,1346.57,1388.74,1296.47,1318.33,1291.91,1313.44,1170.30,1183.78,1491.16,1273.04,1545.42,1245.79
1994,1270.72,1217.13,1236.06,1411.39,1504.34,1054.56,913.21,1009.48,1449.71,1501.05,1010.97,1409.54,1585.95,1423.67,1115.15,1471.79
1995,1540.55,1509.00,1450.05,1569.03,1748.32,1420.37,1321.19,1321.26,1708.61,1769.43,1317.08,1589.94,1912.37,1575.71,1561.30,1555.20
